timestamp,price
2023-05-25 00:00:00,1800.736010305837
2023-05-26 00:00:00,1805.8057604056937
2023-05-27 00:00:00,1828.9565366197276
2023-05-28 00:00:00,1830.3066513168976
2023-05-29 00:00:00,1913.8162493165785
2023-05-30 00:00:00,1893.7142740897043
2023-05-31 00:00:00,1901.078310164527
2023-06-01 00:00:00,1874.694885027078
2023-06-02 00:00:00,1861.7253869476187
2023-06-03 00:00:00,1907.2123218510073
2023-06-04 00:00:00,1892.0781764647577
2023-06-05 00:00:00,1893.178280382087
2023-06-06 00:00:00,1813.6816549003997
2023-06-07 00:00:00,1883.2425846255821
2023-06-08 00:00:00,1832.3204025034538
2023-06-09 00:00:00,1846.0300017820573
2023-06-10 00:00:00,1839.2080126581927
2023-06-11 00:00:00,1754.6732284106363
2023-06-12 00:00:00,1751.7245965042496
2023-06-13 00:00:00,1742.5960525666158
2023-06-14 00:00:00,1736.7894371674618
2023-06-15 00:00:00,1650.6766675535464
2023-06-16 00:00:00,1664.9774623940225
2023-06-17 00:00:00,1716.3772810928574
2023-06-18 00:00:00,1726.3728097349979
2023-06-19 00:00:00,1719.2731615068672
2023-06-20 00:00:00,1734.7931034426633
2023-06-21 00:00:00,1790.1904407317654
2023-06-22 00:00:00,1892.899571916819
2023-06-23 00:00:00,1874.1779470167141
2023-06-24 00:00:00,1891.3450080216778
2023-06-25 00:00:00,1875.0599619284883
2023-06-26 00:00:00,1899.1473121046054
2023-06-27 00:00:00,1859.8024196427973
2023-06-28 00:00:00,1890.0129037837075
2023-06-29 00:00:00,1828.4583364007253
2023-06-30 00:00:00,1853.4452458749938
2023-07-01 00:00:00,1934.0457142617754
2023-07-02 00:00:00,1924.5672408676514
2023-07-03 00:00:00,1933.9598813832074
2023-07-04 00:00:00,1953.7811276489165
2023-07-05 00:00:00,1937.0004255391354
2023-07-06 00:00:00,1910.5052605097412
2023-07-07 00:00:00,1855.4747836363103
2023-07-08 00:00:00,1869.317187141899
2023-07-09 00:00:00,1864.8685919146383
2023-07-10 00:00:00,1866.9167424803986
2023-07-11 00:00:00,1875.2742726720535
2023-07-12 00:00:00,1875.8658719294942
2023-07-13 00:00:00,1873.5068153773982
2023-07-14 00:00:00,2003.253616074307
2023-07-15 00:00:00,1935.9402407442033
2023-07-16 00:00:00,1931.389384157173
2023-07-17 00:00:00,1923.0359898160434
2023-07-18 00:00:00,1912.1228355695634
2023-07-19 00:00:00,1897.199112644643
2023-07-20 00:00:00,1889.2238055517662
2023-07-21 00:00:00,1891.0145054589366
2023-07-22 00:00:00,1891.4724028266849
2023-07-23 00:00:00,1858.3111958083061
2023-07-24 00:00:00,1887.8269808569783
2023-07-25 00:00:00,1850.431150587501
2023-07-26 00:00:00,1857.5965927470297
2023-07-27 00:00:00,1871.5331057115002
2023-07-28 00:00:00,1858.77702138144
2023-07-29 00:00:00,1874.6939950760675
2023-07-30 00:00:00,1880.9180765299413
2023-07-31 00:00:00,1861.8699097932104
2023-08-01 00:00:00,1857.2761957628516
2023-08-02 00:00:00,1869.7451086679923
2023-08-03 00:00:00,1838.0119518760303
2023-08-04 00:00:00,1835.7013026752861
2023-08-05 00:00:00,1828.4611937761101
2023-08-06 00:00:00,1835.0705778421902
2023-08-07 00:00:00,1826.7067792702178
2023-08-08 00:00:00,1826.9334855730522
2023-08-09 00:00:00,1856.8441445120409
2023-08-10 00:00:00,1855.8907273266504
2023-08-11 00:00:00,1850.8769886993493
2023-08-12 00:00:00,1847.5418351143242
2023-08-13 00:00:00,1848.505238656101
2023-08-14 00:00:00,1839.5128095422053
2023-08-15 00:00:00,1843.5133910053466
2023-08-16 00:00:00,1826.9131281594616
2023-08-17 00:00:00,1809.4604742643007
2023-08-18 00:00:00,1675.8621709457839
2023-08-19 00:00:00,1660.6791095302815
2023-08-20 00:00:00,1669.233454808334
2023-08-21 00:00:00,1682.461825140931
2023-08-22 00:00:00,1666.8404654985097
2023-08-23 00:00:00,1635.191294137295
2023-08-24 00:00:00,1679.123993491918
2023-08-25 00:00:00,1658.3996538851384
2023-08-26 00:00:00,1653.4293196573105
2023-08-27 00:00:00,1645.9049996794286
2023-08-28 00:00:00,1656.9310584772875
2023-08-29 00:00:00,1653.198566161456
2023-08-30 00:00:00,1730.1902578762465
2023-08-31 00:00:00,1705.1081032258105
2023-09-01 00:00:00,1645.1815254166893
2023-09-02 00:00:00,1630.6058904999302
2023-09-03 00:00:00,1636.1621989563407
2023-09-04 00:00:00,1635.4030431134638
2023-09-05 00:00:00,1630.6275466678564
2023-09-06 00:00:00,1633.077003857269
2023-09-07 00:00:00,1632.9024163463462
2023-09-08 00:00:00,1646.3050827277937
2023-09-09 00:00:00,1636.354258593187
2023-09-10 00:00:00,1634.4459462937054
2023-09-11 00:00:00,1617.486179584741
2023-09-12 00:00:00,1549.8934231592937
2023-09-13 00:00:00,1594.9745013935253
2023-09-14 00:00:00,1607.736697039678
2023-09-15 00:00:00,1626.436340686946
2023-09-16 00:00:00,1641.9347582842215
2023-09-17 00:00:00,1634.4198849990876
2023-09-18 00:00:00,1622.47877705834
2023-09-19 00:00:00,1636.6346089914616
2023-09-20 00:00:00,1643.69841825706
2023-09-21 00:00:00,1621.5329552921687
2023-09-22 00:00:00,1583.824247006604
2023-09-23 00:00:00,1593.47015355046
2023-09-24 00:00:00,1593.1799744357936
2023-09-25 00:00:00,1580.4777945863666
2023-09-26 00:00:00,1588.4711834402021
2023-09-27 00:00:00,1592.4861256187212
2023-09-28 00:00:00,1597.4168102614992
2023-09-29 00:00:00,1652.196396535431
